Time,Subject,Behavior,X position,Y position,Direction(pull),Order(trigger),Option(trigger),Record(record)
57,Visitor,Pull,3,1,-124,,,
57,Visitor,Pull,2,5,56,,,
184,Operator,TRIGGER,2,0,,1,SINGLE/60/#EF0027/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
185,Operator,TRIGGER,2,1,,2,SINGLE/60/#EF0027/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
188,Operator,TRIGGER,1,2,,3,SINGLE/60/#EF0027/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
191,Operator,TRIGGER,1,3,,4,SINGLE/60/#EF0027/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
201,Visitor,Jump,5,1,,,,
265,Operator,TRIGGER,1,0,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
267,Operator,TRIGGER,1,1,,2,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
270,Operator,TRIGGER,1,2,,3,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
279,Operator,TRIGGER,1,3,,4,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
357,Visitor,Pull,3,1,-124,,,
357,Visitor,Pull,2,5,56,,,
401,Visitor,Jump,5,1,,,,
601,Visitor,Jump,5,1,,,,
657,Visitor,Pull,3,1,-124,,,
657,Visitor,Pull,2,5,56,,,
664,Operator,TRIGGER,2,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
665,Operator,TRIGGER,2,2,,2,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
670,Operator,TRIGGER,2,3,,3,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
761,Operator,TRIGGER,2,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
763,Operator,TRIGGER,2,2,,2,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)///,
801,Visitor,Jump,5,1,,,,
