Time,Subject,Behavior,X position,Y position,Direction(pull),Order(trigger),Option(trigger),Record(record)
00:47:38.35,System,Start,,,,,,
00:47:40.03,Operator,TRIGGER,2,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:40.15,Operator,TRIGGER,1,2,,2,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:40.24,Operator,TRIGGER,1,3,,3,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:40.27,Operator,TRIGGER,2,3,,4,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:40.31,Operator,TRIGGER,3,3,,5,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:41.64,Visitor,Pull,3,1,-124,,,
00:47:41.65,Visitor,Pull,2,5,56,,,
00:47:41.73,Visitor,Move,1,0,,,,
00:47:42.80,Operator,TRIGGER,0,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:42.08,Visitor,Move,1,1,,,,
00:47:43.65,Visitor,Move,2,1,,,,
00:47:43.01,Operator,TRIGGER,0,4,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:44.78,Operator,TRIGGER,4,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:44.32,Visitor,Move,3,1,,,,
00:47:44.49,Operator,TRIGGER,4,4,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:45.92,Visitor,Move,3,2,,,,
00:47:45.94,Visitor,Jump,5,1,,,,
00:47:45.10,Operator,TRIGGER,2,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:46.91,Visitor,Move,4,2,,,,
00:47:46.93,Operator,TRIGGER,0,2,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:47.04,Operator,TRIGGER,2,4,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:47.62,Visitor,Move,0,0,,,,
00:47:48.90,Visitor,Touch,3,1,,,,
00:47:48.90,Visitor,Touch,2,5,,,,
00:47:48.00,Operator,TRIGGER,2,0,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.90,Operator,TRIGGER,5,0,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.98,Operator,TRIGGER,5,1,,2,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.04,Operator,TRIGGER,4,2,,3,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.07,Operator,TRIGGER,4,3,,4,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.13,Operator,TRIGGER,3,3,,5,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.14,Visitor,Pull,3,1,-124,,,
00:47:49.15,Visitor,Pull,2,5,56,,,
00:47:49.19,Operator,TRIGGER,2,3,,6,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:49.22,Visitor,Move,1,0,,,,
00:47:50.24,Visitor,Move,1,1,,,,
00:47:50.26,Visitor,Jump,5,1,,,,
00:47:50.34,Visitor,Touch,5,0,,,,
00:47:51.73,Visitor,Move,2,1,,,,
00:47:51.08,Operator,TRIGGER,1,1,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:52.93,Operator,TRIGGER,1,4,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:52.22,Visitor,Move,3,1,,,,
00:47:53.77,Visitor,Move,3,2,,,,
00:47:53.88,Operator,TRIGGER,3,0,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:53.44,Operator,TRIGGER,4,4,,1,SINGLE/60/#8000FF/BOUNCE/30/10-90/(0.0)-(30.100)-(60.100)-(90.0)////-1/,
00:47:54.79,Visitor,Move,4,2,,,,
